ticker,year,aggregate_risk_delta,normalized_aggregate_risk_delta,word_count,forward_return_90d,uncertainty_score_change,regulatory_risk_change,litigation_risk_change,cyber_risk_change,supply_chain_risk_change
AAPL,2019,0.0,0.0,7928.0,0.04716125856939839,,,,,
AAPL,2020,35.0,3.9822505404482875,8789.0,0.2221353704477053,17.0,8.0,2.0,0.0,8.0
AAPL,2021,50.0,5.17491202649555,9662.0,0.02884359228605822,36.0,10.0,2.0,1.0,1.0
AAPL,2022,23.0,2.2496087636932707,10224.0,-0.14840596525760893,12.0,7.0,0.0,0.0,4.0
AAPL,2023,22.0,2.245585383280596,9797.0,0.19984024835941627,16.0,3.0,1.0,0.0,2.0
AAPL,2024,14.0,1.4121444422029454,9914.0,0.2427909773136468,8.0,4.0,1.0,0.0,1.0
MSFT,2019,0.0,0.0,5.0,0.14580055212796536,,,,,
MSFT,2020,353.0,37.200969543682156,9489.0,0.18531054286176754,243.0,89.0,7.0,3.0,11.0
MSFT,2021,23.0,2.2675736961451247,10143.0,0.10082842199665297,10.0,2.0,1.0,6.0,4.0
MSFT,2022,4.0,0.38546786161703767,10377.0,-0.1543645068909674,0.0,3.0,0.0,0.0,1.0
MSFT,2023,378.0,75600.0,5.0,0.26213372026369264,253.0,94.0,8.0,9.0,14.0
MSFT,2024,0.0,0.0,5.0,0.062332363107474933,0.0,0.0,0.0,0.0,0.0
GOOG,2019,0.0,0.0,10785.0,-0.08078789063867317,,,,,
GOOG,2020,30.5,2.9133632629668544,10469.0,0.15860059548242836,15.0,9.5,4.0,0.0,2.0
GOOG,2021,55.0,4.759844223279965,11555.0,0.21652185675413527,33.0,20.0,2.0,0.0,0.0
GOOG,2022,24.5,2.0931225971806917,11705.0,-0.17572051850470252,2.5,15.0,3.0,4.0,0.0
GOOG,2023,388.5,1.0747660965933925,361474.0,0.28876225785439585,174.5,140.0,61.0,4.0,9.0
GOOG,2024,137.5,0.37574773799861727,365937.0,0.24457421578566757,70.5,61.0,3.0,3.0,0.0
JPM,2019,0.0,0.0,16941.0,0.0359283783185943,,,,,
JPM,2020,20.0,1.2022120702091847,16636.0,-0.028892367550248776,15.0,4.0,0.0,1.0,0.0
JPM,2021,131.0,6.863310106355111,19087.0,0.037742341983241216,39.0,51.0,6.0,34.0,1.0
JPM,2022,25.0,1.336255278208349,18709.0,-0.11798181197455591,15.0,9.0,0.0,0.0,1.0
JPM,2023,16.0,0.8833922261484098,18112.0,0.11597259899024316,6.0,8.0,0.0,1.0,1.0
JPM,2024,48.0,2.4926000934725034,19257.0,0.02359233095504013,40.0,5.0,0.0,3.0,0.0
XOM,2019,0.0,0.0,4375.0,-0.057566565581146624,,,,,
XOM,2020,2.0,0.4554771122751082,4391.0,0.2614011611159517,2.0,0.0,0.0,0.0,0.0
XOM,2021,2.0,0.4448398576512455,4496.0,0.04447249433422351,1.0,1.0,0.0,0.0,0.0
XOM,2022,0.0,0.0,3900.0,0.2539735648563067,0.0,0.0,0.0,0.0,0.0
XOM,2023,2.0,0.5305039787798408,3770.0,0.05652060460339823,2.0,0.0,0.0,0.0,0.0
XOM,2024,1.0,0.27129679869777534,3686.0,-0.0030214261208056704,0.0,0.0,0.0,0.0,1.0
